date,date,value
1970-01-01 00:00:00.000000455,1986-07-01,109.5
1970-01-01 00:00:00.000000456,1986-06-01,109.5
1970-01-01 00:00:00.000000457,1986-05-01,108.9
1970-01-01 00:00:00.000000458,1986-04-01,108.6
1970-01-01 00:00:00.000000459,1986-03-01,108.8
1970-01-01 00:00:00.000000460,1986-02-01,109.3
1970-01-01 00:00:00.000000461,1986-01-01,109.6
1970-01-01 00:00:00.000000462,1985-12-01,109.3
1970-01-01 00:00:00.000000463,1985-11-01,109.0
1970-01-01 00:00:00.000000464,1985-10-01,108.7
1970-01-01 00:00:00.000000465,1985-09-01,108.3
1970-01-01 00:00:00.000000466,1985-08-01,108.0
1970-01-01 00:00:00.000000467,1985-07-01,107.8
1970-01-01 00:00:00.000000468,1985-06-01,107.6
1970-01-01 00:00:00.000000469,1985-05-01,107.3
1970-01-01 00:00:00.000000470,1985-04-01,106.9
1970-01-01 00:00:00.000000471,1985-03-01,106.4
1970-01-01 00:00:00.000000472,1985-02-01,106.0
1970-01-01 00:00:00.000000473,1985-01-01,105.5
1970-01-01 00:00:00.000000474,1984-12-01,105.3
1970-01-01 00:00:00.000000475,1984-11-01,105.3
1970-01-01 00:00:00.000000476,1984-10-01,105.3
1970-01-01 00:00:00.000000477,1984-09-01,105.0
1970-01-01 00:00:00.000000478,1984-08-01,104.5
1970-01-01 00:00:00.000000479,1984-07-01,104.1
1970-01-01 00:00:00.000000480,1984-06-01,103.7
1970-01-01 00:00:00.000000481,1984-05-01,103.4
1970-01-01 00:00:00.000000482,1984-04-01,103.1
1970-01-01 00:00:00.000000483,1984-03-01,102.6
1970-01-01 00:00:00.000000484,1984-02-01,102.4
1970-01-01 00:00:00.000000485,1984-01-01,101.9
1970-01-01 00:00:00.000000486,1983-12-01,101.3
1970-01-01 00:00:00.000000487,1983-11-01,101.2
1970-01-01 00:00:00.000000488,1983-10-01,101.0
1970-01-01 00:00:00.000000489,1983-09-01,100.7
1970-01-01 00:00:00.000000490,1983-08-01,100.2
1970-01-01 00:00:00.000000491,1983-07-01,99.9
1970-01-01 00:00:00.000000492,1983-06-01,99.5
1970-01-01 00:00:00.000000493,1983-05-01,99.2
1970-01-01 00:00:00.000000494,1983-04-01,98.6
1970-01-01 00:00:00.000000495,1983-03-01,97.9
1970-01-01 00:00:00.000000496,1983-02-01,97.9
1970-01-01 00:00:00.000000497,1983-01-01,97.8
